CV Data Logger started on:,2020-2-28_141452
Timestamp (millisec since midnight today), CoM X (cm), CoM Y (cm), Theta (deg), Goal X (cm), Goal Y (cm)
51314122,35.8658214593,20.2486268024,72.6607587626,6.19400440426,41.1998079163
51314370,33.7457608212,21.0806913434,69.7461299891,6.19400440426,41.1998079163
51314519,33.6538873914,21.5240824889,68.5788017662,6.19606452978,41.1361536513
51314667,33.729279817,21.5899254639,67.950430485,6.19400440426,41.1998079163
51315037,34.0184887664,22.2352229545,72.6607587626,6.19400440426,41.1998079163
51315185,34.0164286409,22.2988772196,74.4608413624,6.19606452978,41.1361536513
51315331,33.7778906109,22.4832738848,72.1384600397,6.19400440426,41.1998079163
51315707,33.8491627855,22.6764253899,69.7461299891,6.19400440426,41.1998079163
51315855,33.7737703599,22.6105824149,70.337105418,6.19606452978,41.1361536513
51316007,33.5393525809,22.66767055,73.9807781312,6.19606452978,41.1361536513
51316151,33.4639601553,22.6018275749,72.1384600397,6.19606452978,41.1361536513
51316305,33.6065045045,22.9881305853,72.1384600397,6.19606452978,41.1361536513
51317001,32.3755041883,22.6984941652,75.8615383204,6.19606452978,41.1361536513
51317676,32.4892067802,23.9759568864,78.1649988729,6.19606452978,41.1361536513
51317823,32.4953871567,23.7849940912,75.8615383204,6.19606452978,41.1361536513
51317969,32.411754229,23.9737681764,77.777782607,6.19400440426,41.1998079163
51318119,32.4096941035,24.0374224414,78.1649988729,6.19606452978,41.1361536513
51318372,32.5707795824,23.8508370662,75.8615383204,6.19606452978,41.1361536513
51318974,33.0416752658,23.673006531,76.2965241461,6.19606452978,41.1361536513
51319209,32.6667732632,23.2801373907,61.3085780086,6.19400440426,41.1998079163
51319644,31.2903362537,25.0889030076,68.5788017662,6.19606452978,41.1361536513
51319794,31.2779755006,25.4708285979,66.8652144567,6.19606452978,41.1361536513
51319945,31.7200294268,26.1841577736,73.9807781312,6.19606452978,41.1361536513
51320510,31.7974819779,26.1863464835,83.201318185,6.19606452978,41.1361536513
51320658,31.6405167501,26.2456233286,82.9264592103,6.19606452978,41.1361536513
51320810,31.8036623545,25.9953836884,78.9919669441,6.19606452978,41.1361536513
51321177,32.28279854,25.5629360929,83.201318185,6.19606452978,41.1361536513
51321328,32.1196529356,25.8131757331,80.7430471305,6.19400440426,41.1998079163
51321772,32.646172008,23.9166800413,80.3820586806,6.19606452978,41.1361536513
51321923,32.10400415,23.9013590713,80.3820586806,6.19606452978,41.1361536513
51322076,31.7818331923,24.2745298217,80.6844482772,6.19606452978,41.1361536513
51322545,31.0682792279,24.7640655523,83.9335244903,6.19606452978,41.1361536513
51322697,30.7564088978,24.8189649774,83.7035292311,6.19606452978,41.1361536513
51322846,30.6768962211,24.8804305325,85.7239030039,6.19606452978,41.1361536513
51323109,30.4301176891,25.3194442579,87.5040510478,6.19606452978,41.1361536513
51323814,30.5096303657,25.2579787028,80.7430471305,6.19606452978,41.1361536513
51323962,30.898953247,25.2052679877,85.539546702,6.19606452978,41.1361536513
51324110,31.5329945347,24.7771978122,78.1649988729,6.19606452978,41.1361536513
51324259,31.6289882155,24.2064981367,74.9165276405,6.19606452978,41.1361536513
51324439,30.2513232991,23.6578672364,86.0622052305,6.19606452978,41.1361536513
51324587,30.0881776947,23.9081068766,87.9859198158,6.19606452978,41.1361536513
51325050,28.9873609745,24.3866990572,87.8757305333,6.19606452978,41.1361536513
51325200,28.6021583443,24.3121012422,89.8625945262,6.19606452978,41.1361536513
51325844,28.4122311083,25.3898463283,85.3438065622,6.19606452978,41.1361536513
51325994,28.1778133293,25.4469344633,83.201318185,6.19606452978,41.1361536513
51326147,28.1839937059,25.2559716682,83.4598752322,6.19606452978,41.1361536513
51326445,28.803614115,25.2734813481,83.4598752322,6.27351708092,41.1383423613
51326592,29.2786300495,24.9683422827,78.1649988729,6.19606452978,41.1361536513
51326740,29.5212883305,24.6566370874,80.3820586806,6.19606452978,41.1361536513
51327147,27.4486105792,24.0246535321,89.9178677303,6.19606452978,41.1361536513
51327295,27.2895852259,24.1475846422,86.0622052305,6.19606452978,41.1361536513
51327441,27.2875251004,24.2112389073,86.0622052305,6.27351708092,41.1383423613
51327743,27.4177086965,24.979467508,87.8757305333,6.19606452978,41.1361536513
51327890,27.4931011221,25.0453104831,87.9859198158,6.19606452978,41.1361536513
51328039,27.7130980224,25.4338022034,81.7027650285,6.19606452978,41.1361536513
51328480,27.1235472775,26.8825293299,81.0822699264,6.27351708092,41.1383423613
51329111,28.3957501041,25.8990804487,72.6607587626,6.27351708092,41.1383423613
51329259,28.4081108572,25.5171548584,72.6607587626,6.27351708092,41.1383423613
51329406,27.8762436268,25.1835625631,74.4608413624,6.19606452978,41.1361536513
51329931,25.9316893461,25.3834618736,87.9859198158,6.19606452978,41.1361536513
