CV Data Logger started on:,2020-7-17_151641
Timestamp (millisec since midnight today), CoM X (cm), CoM Y (cm), Theta (deg), Goal X (cm), Goal Y (cm)
55049737,21.4843684526,19.0776755632,-41.1694764008,52.892148898,35.5110647545
55049894,21.7982989082,18.9591218731,-38.8519730208,52.7207627916,36.015921455
55050278,21.2013398797,18.2414152775,-35.4838546289,52.6227089853,36.6502753956
55050440,21.0464347775,18.2370378575,-36.5670975686,52.6227089853,36.6502753956
55050597,21.1238873286,18.2392265675,-35.4838546289,52.6227089853,36.6502753956
55050756,21.3706658607,17.800212842,-34.3212598825,52.4554431299,37.027823566
55050916,21.3665456096,17.9275213722,-34.3212598825,52.4554431299,37.027823566
55051119,20.3596624447,17.8990681423,-40.0553655695,52.0640601231,37.1441885461
55051276,20.3431814406,18.4083022628,-34.1793714662,51.9824873209,37.2693083663
55051428,20.4144536152,18.6014537679,-33.1231158986,51.9050347698,37.2671196563
55051912,22.016235683,19.4112678585,-25.8311821889,51.57462331,37.8949074669
55052065,21.9408432574,19.3454248834,-25.8311821889,51.4951106334,37.956373022
55052446,21.7229064826,18.893278898,-27.8713436102,51.3113637738,38.8431553128
55052610,21.8757514594,18.9613105831,-27.0482380793,51.3051833973,39.034118108
55052779,22.0450774403,18.5201081476,-26.6317086453,51.3051833973,39.034118108
55052918,22.0368369382,18.7747252079,-26.6317086453,51.2887023932,39.5433522285
55053340,21.235529795,19.5803435537,-22.7349376285,50.968591561,39.8528687139
55053848,22.1484794046,20.1158421941,-18.133055532,50.4202433264,40.0285105391
55054007,22.1484794046,20.1158421941,-18.133055532,50.4202433264,40.0285105391
55054164,22.1567199067,19.8612251339,-18.133055532,50.4202433264,40.0285105391
55054651,22.4747706133,19.6153629136,-15.4917697957,49.9979584369,41.0996894952
55054805,22.5563434155,19.4902430935,-20.0377183012,49.9122653837,41.3521178454
55054962,22.4768307389,19.5517086485,-19.421972579,49.9060850071,41.5430806406
55055383,22.195030073,21.07284488,-18.2369685037,49.646945722,42.3640199564
55055539,22.2135712027,20.4999564945,-36.2000965538,49.6428254709,42.4913284865
55056166,22.1719730038,16.9945944962,-52.7295397066,48.9333917575,42.853555687
55056367,22.734742117,16.3733728155,-48.2452203996,48.7743664042,42.9764867971
55056526,23.2015175494,16.3228508104,-45.5489237899,48.6153410509,43.0994179073
55056928,23.0486725726,16.2548191253,-44.8390394842,48.6153410509,43.0994179073
55057427,23.1850365453,16.8320849309,-52.7295397066,22.0607262259,20.4319248094
55057822,25.0966288177,17.6506538614,-42.4359528167,22.0607262259,20.4319248094
55058030,25.797822029,17.5430437212,-38.8519730208,22.0607262259,20.4319248094
55058189,26.2015657889,17.0447531507,-37.705040779,48.4233945308,32.262871877
55058538,25.5984263838,16.5180093502,-36.5670975686,48.1951571284,32.1289972169
55058711,25.9082365884,16.5267641902,-34.3212598825,48.1197647028,32.0631542419
55058874,25.9918695161,16.337990105,-35.4838546289,48.1197647028,32.0631542419
55059033,25.9898093906,16.4016443701,-35.4838546289,48.0484925282,31.8700027367
55059428,25.5654643756,17.5364775912,-32.9280752155,48.0484925282,31.8700027367
55059583,26.0890911039,18.1246869467,-29.6529127471,48.0443722772,31.9973112668
55060253,27.6402022523,18.1048068815,-27.0482380793,48.3397616031,32.4516459622
55060414,27.6402022523,18.1048068815,-27.8713436102,48.3377014776,32.5153002273
55060815,27.3406926753,17.7777807162,-27.8713436102,48.3397616031,32.4516459622
55060971,27.6505028799,17.7865355562,-27.0482380793,48.3438818542,32.3243374321
55061426,27.0123413411,18.3419142618,-28.3678132066,48.3438818542,32.3243374321
55061586,27.538028195,18.8664693522,-21.3778505369,48.2808501816,31.8765688667
55061745,28.7690285112,19.1561057723,-21.3336008634,48.2829103072,31.8129146016
55062132,29.8533642273,19.1867477122,-22.6048559615,48.3562426073,31.9424118417
55062286,29.7800319272,19.0572504721,-21.3336008634,48.4295749074,32.0719090818
55062897,29.7149401291,18.6731361717,-21.9326025694,48.4295749074,32.0719090818
55063561,29.286474863,19.935277923,-14.6226408537,48.7352648609,32.2079724519
55063724,29.8937345191,20.3347131933,-14.1412466117,48.7352648609,32.2079724519
55063878,30.2014845982,20.4071222983,-14.1412466117,48.739385112,32.0806639218
55064198,30.5928676049,20.2907573181,-18.133055532,48.747625614,31.8260468616
55064379,30.5215954303,20.097605813,-17.5797178255,48.747625614,31.8260468616
55064511,30.3687504536,20.0295741279,-18.133055532,48.747625614,31.8260468616
55064811,30.9986714903,19.7288124825,-16.8226996937,48.8942902142,32.0850413418
55065595,30.8128645052,20.6792490385,-30.3718061633,49.1917396657,32.4757217721
55065924,30.8829087728,18.5150040264,-51.7775071863,49.1163472401,32.4098787971
55066234,31.5437316923,17.2594284051,-49.6795113167,49.1163472401,32.4098787971
55066554,31.8700229011,16.7589491246,-50.1070648024,48.9738028909,32.0235757867
55066956,32.0331685054,16.5087094843,-44.5497498115,48.9799832675,31.8326129915
55067434,32.0249280033,16.7633265446,-51.1737269483,49.1245877422,32.1552617368
55067591,33.0091497875,17.4919766901,-42.4359528167,49.1979200423,32.2847589769
55068032,35.163400341,17.9988404253,-38.8519730208,49.2691922169,32.4779104821
55068343,35.6466567775,17.4390842997,-36.611543692,49.2691922169,32.4779104821
55068700,35.1819414706,17.4259520398,-37.705040779,49.2020402933,32.1574504468
55069011,35.2676345238,17.1735236895,-38.8519730208,49.1287079932,32.0279532067
55069598,36.4986348401,17.4631601096,-32.1201754673,49.1287079932,32.0279532067
55069749,36.6535399424,17.4675375296,-31.167183264,49.1287079932,32.0279532067
55070157,36.7412931211,17.1514549143,-29.0810942429,49.4261574447,32.418633637
55070317,36.7392329956,17.2151091794,-29.0810942429,49.5036099958,32.420822347
55070771,36.5068753422,17.2085430494,-29.0810942429,49.4994897448,32.5481308771
55070928,36.5109955932,17.0812345193,-32.1201754673,49.5015498703,32.4844766121
55071097,36.5905082699,17.0197689642,-32.1201754673,49.5015498703,32.4844766121
55071475,37.3567932792,17.2962731243,-25.8311821889,49.5077302468,32.2935138169
55071638,37.9743535629,17.3774370693,-24.5863841341,49.5118504979,32.1662052868
55071793,38.1292586652,17.3818144893,-23.1531487768,49.5118504979,32.1662052868
55072142,38.5227017974,17.2017952441,-21.3336008634,49.5118504979,32.1662052868
55072305,38.5227017974,17.2017952441,-21.3336008634,49.5831226725,32.3593567919
55072667,38.2005308398,17.5749659945,-20.0377183012,49.5831226725,32.3593567919
55072847,38.4205277401,17.9634577148,-21.3336008634,49.5831226725,32.3593567919
55073006,38.4184676146,18.0271119799,-23.8509634576,49.8723316219,33.0046542825
55073168,38.2738631399,17.7044632346,-27.0482380793,49.8723316219,33.0046542825
55073321,37.8845402586,17.7571739497,-29.9688086025,49.7928189452,33.0661198376
55074038,38.2005308398,17.5749659945,-28.2374074235,49.7928189452,33.0661198376
55074641,37.9681731863,17.5683998645,-31.167183264,49.7194866451,32.9366225975
55074807,38.0497459885,17.4432800444,-30.9036277436,49.7194866451,32.9366225975
55074965,38.2046510908,17.4476574644,-29.9688086025,49.7153663941,33.0639311276
55075154,38.4411289953,17.3269150642,-27.8713436102,49.8599708688,33.3865798729
55075305,37.8009073309,17.9459480349,-29.9688086025,49.9333031689,33.516077113
55075912,39.5761356307,18.1872511599,-17.5797178255,49.9333031689,33.516077113
55076070,39.6638888094,17.8711685446,-18.133055532,49.9333031689,33.516077113
55076227,39.7454616116,17.7460487244,-16.8226996937,49.7742778156,33.6390082231
55076511,39.2766260537,17.8602249946,-17.5797178255,49.6988853899,33.5731652481
55077297,39.0525089023,17.5990418044,-19.421972579,49.6906448879,33.8277823083
55077454,38.9709361002,17.7241616245,-22.0147041773,49.6906448879,33.8277823083
55077613,38.954455096,18.233395745,-16.0093491144,49.8352493626,34.1504310536
55077971,40.99829109,19.7565390112,-5.27008165592,49.8352493626,34.1504310536
55078687,41.0839841433,19.5041106609,-5.27008165592,49.6659233817,34.591633489
55079294,40.7638733111,19.8136271463,-9.31864530191,49.5130784049,34.523601804
55079450,40.2072845745,20.2438860317,-5.47662946523,49.5130784049,34.523601804
55080008,41.1523639738,22.1819672135,-1.14885177494,49.5719898264,35.0986788995
55080168,41.537566604,22.2565650285,-1.23256275022,49.6453221265,35.2281761397
55080549,41.7967058892,21.4356257127,-5.27008165592,49.5575689478,35.544258755
55080711,41.7274938401,21.1788199424,-3.74568417108,49.5555088222,35.60791302
55080866,41.5808292399,20.9198254622,-5.0751658697,49.5555088222,35.60791302
55081142,42.1456584786,20.2349495165,-1.06991252448,49.4759961456,35.6693785751
55081876,42.1674876408,21.9558033831,7.3105628255,49.2415783666,35.7264667102
55082032,42.6198421945,22.3508612334,7.3105628255,49.2415783666,35.7264667102
55082187,43.1475891739,22.8117620588,7.14413990908,49.3149106667,35.8559639503
55082553,42.9152315205,22.8051959288,5.64979784008,49.3779423393,36.3037325157
55082716,42.9152315205,22.8051959288,5.64979784008,49.3738220882,36.4310410458
55082874,42.9926840716,22.8073846388,5.76798722968,49.3697018372,36.558349576
55083169,43.0701366228,22.8095733488,4.30829642691,49.3614613351,36.8129666362
55083310,42.9193517715,22.6778873987,2.92673404868,49.2819486585,36.8744321913
55083747,43.702117785,22.4451574384,4.30829642691,49.2044961073,36.8722434813
55084484,43.2374024782,22.4320251784,4.38729728835,49.1270435562,36.8700547713
55084642,43.2374024782,22.4320251784,4.30829642691,49.1270435562,36.8700547713
55085079,43.7878108383,22.1927290881,4.38729728835,48.9535973242,37.4385657368
55085403,42.5362092668,22.5396353186,7.14413990908,48.9494770732,37.565874267
55085566,42.0653135834,22.7174658538,7.3105628255,48.8658441455,37.7546483522
55085725,42.2119781836,22.9764603341,5.64979784008,48.8658441455,37.7546483522
55085880,42.1996174305,23.3583859244,7.48728597231,48.7088789177,37.8139251972
55086248,42.9350005571,24.5897040605,12.8967656344,48.6314263665,37.8117364872
55086409,43.3243234384,24.5369933454,12.5729414299,48.6314263665,37.8117364872
55086573,43.4812886662,24.4777165003,12.8967656344,48.5560339409,37.7458935122
55086920,43.7383678258,23.7204314496,9.8766517622,48.3236762875,37.7393273822
55087078,43.8870925516,23.9157716647,8.31890765638,48.2462237363,37.7371386722
55087385,43.7507285789,23.3385058592,7.14413990908,48.2359231087,38.0554099975
55087542,43.6753361533,23.2726628841,6.98714478507,48.2318028577,38.1827185276
55087724,43.4998297959,23.9048281148,11.515814162,48.2318028577,38.1827185276
55087908,43.7136463196,24.4842826303,19.2899074093,48.2318028577,38.1827185276
55088073,43.9966748925,25.320542916,31.7229934173,48.2318028577,38.1827185276
55088513,45.6717892604,26.2598542467,33.9896309067,47.905511649,38.6831978082
55088669,45.7492418116,26.2620429567,32.6722822254,47.905511649,38.6831978082
55089057,46.1406248183,26.1456779765,32.6722822254,47.6772742466,38.5493231481
55089218,46.0590520162,26.2707977967,30.825022282,47.6772742466,38.5493231481
55089392,46.0549317651,26.3981063268,28.186517833,47.5998216955,38.5471344381
55089548,44.8746023683,26.9381640625,33.9896309067,47.5998216955,38.5471344381
55090051,46.1220836887,26.7185663621,17.4604313218,47.428435589,39.0519911386
55090204,46.8966092001,26.740453462,14.4055855388,47.428435589,39.0519911386
55090750,49.5547174453,26.051018421,12.5729414299,47.1103848824,39.2978533589
55090906,49.8480466457,26.5690073814,11.515814162,47.1103848824,39.2978533589
55091328,49.8624675243,26.123427526,12.8967656344,47.1103848824,39.2978533589
55091484,50.1051258053,25.8117223307,15.6187072466,46.7231221267,39.2869098089
55092218,51.9713953164,28.0306850925,23.9939670848,46.7231221267,39.2869098089
55092374,52.1201200421,28.2260253077,22.6343626381,46.2584068198,39.273777549
55092893,51.8164902141,28.0263076725,22.6343626381,46.2563466943,39.337431814
55093056,51.7328572864,28.2150817577,18.4099903073,35.167875439,34.6279245761
55093393,52.2016928443,28.1009054875,17.4133450476,29.46606063,31.1537495436
55093545,51.8103098375,28.2172704677,18.7699003668,28.6367439481,30.429476818
55093850,51.7835282058,29.0447759135,23.9939670848,27.2879207889,28.9896862068
55094001,52.0871580338,29.2444935486,23.9939670848,27.2879207889,28.9896862068
55094457,52.9556171006,28.7593352381,22.0121213976,27.2879207889,28.9896862068
55094618,53.1105222028,28.763712658,22.6343626381,27.2879207889,28.9896862068
55095134,53.2654273051,28.768090078,22.0121213976,-3.27782737456,29.6550368317
55095312,53.2613070541,28.8953986081,19.2899074093,-3.27782737456,29.6550368317
